author,Start,End,Price,lower bound,upper bound,route,Currency,Price EUR 2014,Service,Year,Source,Comment
petros,Asia,Italy,"3,580",,,,EUR,3580,Boats,2015,http://www.protothema.gr/greece/article/470285/metanastes-sti-rafina-mas-zitousan-hrimata-gia-na-min-horisoun-oikogeneies-/,
petros,Asia/Africa,Greece,"4,000",,,,EUR,4454,,2008,http://www.naftemporiki.gr/story/194823/eksarthrothike-kukloma-doulemporon,
petros,Asia/Africa,Italy,"4,750","4,000","5,500",,EUR,4750,Truck + Ship,2014,http://www.real.gr/DefaultArthro.aspx?page=arthro&id=296049&catID=3,
petros,Asia/Africa,Italy,"2,250","2,000","2,500",,EUR,2250,Vehicles + Boats,2015,http://news247.gr/eidiseis/koinonia/ellhnes-italoi-kai-tourkos-oi-diakinhtes-metanastwn-sto-aitwliko.3408848.html,
nkb,Asmara,Kassala,"1,000",,,,USD,750,,2014,http://www.youtube.com/watch?v=j0clSt6MvZM&list=TLCNmsq21rI9KBd0gUs8QHAo6Psfqj130X,
alb,Asmara,Khartoum,550,500,600,,USD,437,,2009,http://www.invisible-dog.com/odissea_clandestino_eng.html,"Transnational criminal org, mostly on camelback and at night until Sudan, then by bus"
Adam (GITOC),Athens,Albania,"1,500",,,,USD,1500,Foot,2014,"Glen Johnson, 24 May 2015, http://www.smh.com.au/world/the-balkan-connection-smugglers-build-bridge-of-bribes-to-western-europe-20150524-gh6vit.html",Cost for one Eritrean woman from Athens to Albania
nelsonmau,Athens,Milan,"3,000",,,,EUR,3000,,2015,http://www.tempi.it/indagine-sulla-mafia-dei-clandestini#.VVGOW3VtN5S,
nelsonmau,Athens,Rome,"3,000",,,East Med Sea,EUR,3000,,2015,http://www.tempi.it/indagine-sulla-mafia-dei-clandestini#.VVGOW3VtN5S,
Adam (GITOC),Athens,"Skopje, Macedonia",280,,,,USD,210,Taxi,2014,"Toronto Star, 10 Novermber 2014, http://www.thestar.com/news/world/2014/11/10/for_human_smugglers_no_shortage_of_customers.html",
Adam (GITOC),"Augusta, Sicily","Catania, Sicily",150,,,,EUR,150,Vehicle,2014,"Save the Children, 1 June 2014, http://www.savethechildren.de/fileadmin/Dokumente_Download/SC_report_The_boat_is_safe_and_other_lies.pdf",Price per person for a group of 15 Syrians to be taken by Tunisian smugglers from the reception center in Augusta to the train station in Catania
Adam (GITOC),"Awaynet, Libya",Kufrah,"1,000",,,,LYD,593,Overland,2013,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Sudanese man
Adam (GITOC),"Balochistan, Pakistan",Istanbul,"3,000",,,,USD,3062,Overland,2012,"Der Spiegel, 24 May 2012, http://www.spiegel.de/international/europe/thousands-of-illegal-immigrants-enter-europe-through-greece-a-834415.html",Price for the Balochistan-to-Istanbul portion of the Bangladeshi's journey
Adam (GITOC),Bamako,Tamanrasset,75,50,100,,USD,57,Bus/foot,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Bamako to Gao (Mali), Gao to Borj Mokhtar (Mali/Alg border), Borj Mokhtar to Tamanrasset"
Adam (GITOC),Bangladesh,Greece,"10,000",,,,USD,10206,"Overland, then boat",2012,"Der Spiegel, 24 May 2012, http://www.spiegel.de/international/europe/thousands-of-illegal-immigrants-enter-europe-through-greece-a-834415.html","Rather roundabout route for a Bangladeshi migrant: Overland to Muscat, boat to Balochistan, then overland to Istanbul and across the river into Greece"
Adam (GITOC),Bangladesh,Ceuta,"7,000","6,000","8,000",,EUR,8268,"Plane, overland, and boat",2006,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane from Dhaka to Dubai, plane from Dubai to Bamako, overland to Morocco, then boat to Ceuta"
Adam (GITOC),Bangladesh,Greece,"7,000",,,East Med Sea+,EUR,8450,"Plane, overland, and boat",2005,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane from Bangladesh to Syria on work/student visa, then taxi to Syria-Turkey border, then cross border on foot, then overland to Istanbul (sometimes via Ankara), then either across Evros to Greece or boat to Greek islands"
Adam (GITOC),Bangladesh,Greece,"12,000",,,East Med Sea+,EUR,13361,"Plane, overland, and boat",2008,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane from Bangladesh to Syria on work/student visa, then taxi to Syria-Turkey border, then cross border on foot, then overland to Istanbul (sometimes via Ankara), then either across Evros to Greece or boat to Greek islands"
Adam (GITOC),Bangladesh,Turkey,"3,500",,,,EUR,4225,Plane,2005,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe",Plane direct from Bangladesh to Turkey with (illegally-obtained) tourist visa
Adam (GITOC),Bangladesh,Turkey,"5,500",,,,EUR,6497,Plane,2006,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe",Plane direct from Bangladesh to Turkey with (illegally-obtained) student visa
Adam (GITOC),Bangladesh,Turkey,"1,200",,,,EUR,1257,Overland,2011,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe",Overland via Pakistan and Iran
Adam (GITOC),Bangladesh,Greece,,"6,000","7,000",East Med Sea+,EUR,,Plane then overland,2009,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane from Bangladesh to Romania, then truck to Greece via Bulgaira"
alice,Belarus,Poland,"2,000",,,East Borders,USD,1620,on foot on a pedestrian bridge over the Polish-Belorussian border built for the purpose of trafficking,2010,"http://www.bialystokonline.pl/przemycali-ludzi-przez-granice-zapadly-prawomocne-wyroki,artykul,83397,1,1.html","in the article it says ""a couple of thousand dollars"", the dates range from April 2009 to August 2010"
nkb,Benin,Tripoli,300,,,,USD,225,"""Some on foot, some by motor cycle and by bus""",2014,http://www.globalinitiative.net/download/global-initiative/Global%20Initiative%20-%20Migration%20from%20Africa%20to%20Europe%20-%20May%202014.pdf,
Adam (GITOC),"Biasa, Nigeria",Agadez,"1,800",,,,USD,1358,Overland,2011,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Nigerian man
nkb,Bodrum,Kos,"2,000",,,East Med Sea,EUR,2000,boat,2015,"Libération, May 6, 2015",
nkb,Burkina,Germany,"8,000","6,000","10,000",,USD,6000,"lower bound, all included, by air",2014,http://www.globalinitiative.net/download/global-initiative/Global%20Initiative%20-%20Migration%20from%20Africa%20to%20Europe%20-%20May%202014.pdf,
Red Cross,BURKINA FASO,Spain,500000,,,West African,XAF,866,Seat on a boat from Mauritania,2007,Red Cross,
Adam (GITOC),Burkina Faso,Greece,,"2,000","2,500",East Med Sea+,EUR,,"Plane/overland, then plane, then boat",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane to Algeria (or by truck/foot), then plane to Izmir, then boat to Greek islands. Note, though, that as of June 2015, there are no scheduled direct Algiers-Izmir flights."
alb,Cairo,Italy,"2,000",,,Central Med,EUR,2308,By boat,2007,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Source : Ayman Zohry (Ph.D. University of Sussex) is an expert on migration studies based in Cairo, Egypt. He is the current as well as the founding president of the Egyptian Society for Migration Studies (EGYMIG). - See more at: http://www.imi.ox.ac.uk/researcher-directory/ayman-zohry#sthash.0ukQ3R8x.dpuf"
alb,Cairo,Italy,"8,100","6,700","9,500",,EUR,9349,By plane,2007,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Source : Ayman Zohry (Ph.D. University of Sussex) is an expert on migration studies based in Cairo, Egypt. He is the current as well as the founding president of the Egyptian Society for Migration Studies (EGYMIG). - See more at: http://www.imi.ox.ac.uk/researcher-directory/ayman-zohry#sthash.0ukQ3R8x.dpuf"
Adam (GITOC),Cairo,Greece,"2,500","2,000","3,000",East Med+,EUR,2619,"Plane, then boat or truck",2011,http://cadmus.eui.eu/bitstream/handle/1814/21714/TriandafyllidouMaroukis_Pre-FormattedExcerpt_ForCADMUSrepository.pdf,"Migrants flown to Istanbul, then either driven to the coast and put on a boat to one of the Aegean islands or driven across land border to Greece"
nkb,Calais,Dover,"5,000",,,,EUR,5000,"Guaranteed price, usually in the trunk of a car",2014,http://www.liberation.fr/societe/2014/10/29/prison-ferme-pour-des-passeurs-de-migrants-a-calais_1131686,
nkb,Calais,Dover,700,400,"1,000",,EUR,700,"In trucks, sometimes refrigerated",2014,http://www.liberation.fr/societe/2014/10/29/prison-ferme-pour-des-passeurs-de-migrants-a-calais_1131686,
Adam (GITOC),Calais,United Kingdom,0,,,,GBP,,Volkswagen van,2014,"Daily Mail, 23 November 2014, http://www.dailymail.co.uk/news/article-2846193/How-break-Britain-Migrants-Calais-offered-menu-prices-people-smugglers-ranging-700-economy-class-6-500-secured-place-lorry.html","Price ""charged"" by a British man who brought migrants over from Calais to the UK for free ""because they're going to come in anyway"" and he thought he should do it humanely"
Adam (GITOC),Calais,United Kingdom,"6,500",,,,GBP,6500,Van,2014,"Daily Mail, 23 November 2014, http://www.dailymail.co.uk/news/article-2846193/How-break-Britain-Migrants-Calais-offered-menu-prices-people-smugglers-ranging-700-economy-class-6-500-secured-place-lorry.html","Price for ""first class"" service from Calais to UK. Designated driver and van provided by London-based Afghan"
Adam (GITOC),Calais,United Kingdom,"2,000",,,,EUR,2000,Unclear,2014,"Le Figaro, 30 September 2014, http://www.lefigaro.fr/actualite-france/2014/09/30/01016-20140930ARTFIG00338-le-port-de-calais-en-etat-de-siege-face-aux-migrants.php",
Adam (GITOC),Calais,United Kingdom,"1,500",500,"2,500",,EUR,1500,Truck,2014,"RFI Portuguese, 26 November 2014, http://www.portugues.rfi.fr/geral/20141126-coiotes-instalados-na-ingleterra-cobram-de-500-2500-por-travessia-da-mancha",
Adam (GITOC),Calais,United Kingdom,"1,000",,,,EUR,1000,Car trunk,2014,"RFI Portuguese, 26 November 2014, http://www.portugues.rfi.fr/geral/20141126-coiotes-instalados-na-ingleterra-cobram-de-500-2500-por-travessia-da-mancha",Vehicles generally driven by civilians
Adam (GITOC),Calais,United Kingdom,500,,,,EUR,500,Car,2014,"Q Code Magazine, 10 March 2015, http://www.qcodemag.it/2015/03/10/corridoio-nord-la-nuova-rotta-dei-migranti/",Price for a Syrian to cross the English Channel in the trunk of a car
nelsonmau,Center of Africa,Libya,"4,000",,,,USD,3520,not declared,2015,l'Espresso http://espresso.repubblica.it/attualita/2015/04/20/news/stragi-del-mediterraneo-cosi-gli-schiavisti-comprano-e-vendono-gruppi-di-migranti-da-inviare-verso-le-coste-libiche-con-destinazione-italia-1.208984,
daniele,Ceuta,Spain,100,,,,EUR,101,boat,2013,http://www.elcorreo.com/vizcaya/rc/20130712/sociedad/inmigrantes-entrar-espana-201307121402.html,
Red Cross,CHAD,Spain,120000,,,West African,MRO,388,Seat on a boat from Mauritania,2007,Red Cross,
alice,Chechnya,Germany,"1,500",,,East Borders,EUR,1508,taxi,2013,"http://wiadomosci.wp.pl/kat,1348,title,Europol-w-Polsce-i-w-Niemczech-zatrzymano-przemytnikow-ludzi,wid,16374713,wiadomosc.html",
nkb,China,Europe,"37,500","25,000","50,000",,EUR,46251,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
sgr,China,Europe,"60,000","40,000","80,000",,CHF,46356,diverse,2005,"Beobachter, December 23rd 2005","Costs per person, garanteed smuggling"
sgr,China,Europe,"15,000",,,,USD,21679,Truck,2000,"Facts, June 22nd 2000",Costs per person
sgr,China,,"100,000",,,,DEM,66783,,2001,"Spiegel, April 30th 2001",Costs per person
petros,China,USA/Europe,"45,000","40,000","50,000",,EUR,45247,,2013,http://www.real.gr/DefaultArthro.aspx?page=arthro&id=253484&catID=4,
Red Cross,CONGO,Spain,1000,,,West African,EUR,1154,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2021
Red Cross,CONGO,Spain,300,,,West African,EUR,346,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2043
Red Cross,COSTA DE MARFIL,Spain,1000000,,,West African,XAF,1731,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,600000,,,West African,XAF,1039,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,300000,,,West African,MRO,970,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,300000,,,West African,MRO,970,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,300000,,,West African,MRO,970,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,300000,,,West African,MRO,970,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,250000,,,West African,MRO,808,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,650,,,West African,EUR,750,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2025
Red Cross,COSTA DE MARFIL,Spain,400000,,,West African,XAF,693,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,300000,,,West African,XAF,519,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,400,,,West African,EUR,462,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2041
Red Cross,COSTA DE MARFIL,Spain,259500,,,West African,XAF,449,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,100000,,,West African,MRO,323,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,100000,,,West African,MRO,323,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,COSTA DE MARFIL,Spain,250,,,West African,MRO,1,Seat on a boat from Mauritania,2007,Red Cross,
